"ID_lambea","Familia","Variante","Categoría_web","Nombre_completo","SKU_propuesto","Descripción_corta","Precio_desde_EUR","Precio_hasta_EUR","Formatos","Valoración","Num_valoraciones","Código_toxicología","Instrucciones_uso","Usos_principales","Aplicaciones","Promo_3x2","URL_web_oficial","Carpeta_local","Carpeta_existe","Ficha_producto_md","PDF_ficha_técnica","Num_imágenes_local","Envío_península","Envío_baleares","Bestseller","Notas"
"manzalam-industrial","MANZALAM","industrial","Industrial","MANZALAM INDUSTRIAL","LAM-MAN-IND","Limpiador y reparador multiusos ecológico. Base de vinagre de manzana.","18.0","382.0","1 L | 5 L | 25 L","4.75","4","180065/LAM","Diluir 1:4 para uso normal, hasta 1:7. Aplicar, esperar 4-6 min, fregar con cepillo suave y aclarar. Para residuos difíciles: dilución 1:1.","Limpieza acero inoxidable; Eliminación cal y óxido; Limpieza multiusos ecológica","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/manzalam-industriales-limpiador-y-reparador-multiusos-limpia-superficies-de-acero-inoxidable-satinado-y-elimina-restos-de-cal-y-oxido-1-litro-concentrado/","03-industriales/04-manzalam-industrial","Sí","Sí","Sí","7","Gratis","~€4","No","URL específica industrial; Caravaning puede compartirla"
"manzalam-generico","MANZALAM","generico","Genérico","MANZALAM GENÉRICO","LAM-MAN-GEN","Limpiador y reparador multiusos ecológico. Base de vinagre de manzana.","18.0","382.0","1 L | 5 L | 25 L","4.75","4","180065/LAM","Diluir 1:4 para uso normal, hasta 1:7. Aplicar, esperar 4-6 min, fregar con cepillo suave y aclarar. Para residuos difíciles: dilución 1:1.","Limpieza acero inoxidable; Eliminación cal y óxido; Limpieza multiusos ecológica","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/manzalam-limpiador-y-reparador-multiusos-limpia-superficies-de-acero-inoxidable-satinado-y-elimina-restos-de-cal-y-oxido-1-litro-concentrado/","03-industriales/04-manzalam-industrial","Sí","Sí","Sí","7","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"motorlam-nautico","MOTORLAM","nautico","Náutico","MOTORLAM NÁUTICO","LAM-MOT-NAU","Desengrasante de motores de alto rendimiento con efecto desodorante","18.15","385.68","1 L | 5 L | 25 L","5.0","2","170190/LAM","Aplicar por pulverización, pincel o inmersión. Dejar actuar unos minutos y aclarar con agua. Diluible 1:4 o 1:7.","Limpieza motores; Desengrase; Limpieza sentinas; Eliminación olores","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/motorlam-nautico-desengrasante-de-motores-de-alto-rendimiento-con-efecto-desodorante-formula-especial-nautica-1-litro-concentrado/","01-limpieza-barcos/06-motorlam-nautico","Sí","Sí","Sí","0","Gratis","~€4","No",""
"motorlam-caravaning","MOTORLAM","caravaning","Caravaning","MOTORLAM CARAVANING","LAM-MOT-CAR","Desengrasante de motores de alto rendimiento con efecto desodorante","18.15","385.68","1 L | 5 L | 25 L","5.0","2","170190/LAM","Aplicar por pulverización, pincel o inmersión. Dejar actuar unos minutos y aclarar con agua. Diluible 1:4 o 1:7.","Limpieza motores; Desengrase; Limpieza sentinas; Eliminación olores","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/motorlam-caravaning-desengrasante-de-motores-de-alto-rendimiento-con-efecto-desodorante-formula-especial-caravaning-1-litro-caravana-concentrao/","02-limpieza-caravanas/06-motorlam-caravaning","Sí","Sí","Sí","6","Gratis","~€4","No",""
"motorlam-generico","MOTORLAM","generico","Genérico","MOTORLAM GENÉRICO","LAM-MOT-GEN","Desengrasante de motores de alto rendimiento con efecto desodorante","18.15","385.68","1 L | 5 L | 25 L","5.0","2","170190/LAM","Aplicar por pulverización, pincel o inmersión. Dejar actuar unos minutos y aclarar con agua. Diluible 1:4 o 1:7.","Limpieza motores; Desengrase; Limpieza sentinas; Eliminación olores","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/motorlam-desengrasante-de-motores-de-alto-rendimiento-con-efecto-desodorante-1-litro-concentrado/","03-industriales/05-motorlam-industrial","Sí","Sí","Sí","6","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"pasta_rosa_superbrillo-nautico","PASTA ROSA SUPERBRILLO","nautico","Náutico","PASTA ROSA SUPERBRILLO NÁUTICO","LAM-PROSA-NAU","Pulimento para metales. Desbastar a máquina. Primer paso.","10.15","33.8","líquida","","","","","Pulido metales a máquina; Primer paso pulido; Desbastado metales","nautico; industrial","Sí","https://grupolambea.com/producto/pasta-rosa-superbrillo-nautica-pulimento-para-metales-desbastar-a-maquina-formula-especial-nautica-liquida-pulir-metales/","01-limpieza-barcos/15-pasta-rosa-superbrillo","Sí","Sí","Sí","12","Gratis","~€4","No",""
"pasta_rosa_superbrillo-generico","PASTA ROSA SUPERBRILLO","generico","Genérico","PASTA ROSA SUPERBRILLO GENÉRICO","LAM-PROSA-GEN","Pulimento para metales. Desbastar a máquina. Primer paso.","10.15","33.8","líquida","","","","","Pulido metales a máquina; Primer paso pulido; Desbastado metales","nautico; industrial","Sí","https://grupolambea.com/producto/pasta-rosa-superbrillo-pulimento-para-metales-desbastar-a-maquina-1-kg/","03-industriales/14-pasta-rosa-superbrillo","Sí","Sí","Sí","10","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"pasta_verde_superbrillo-nautico","PASTA VERDE SUPERBRILLO","nautico","Náutico","PASTA VERDE SUPERBRILLO NÁUTICO","LAM-PVERDE-NAU","Pulimento para metales. Superbrillo a máquina. Segundo paso.","7.9","84.0","","","","","","Pulido metales a máquina; Acabado superbrillo; Segundo paso pulido","nautico; industrial","Sí","https://grupolambea.com/producto/pasta-verde-superbrillo-nautica-pulimento-para-metales-superbrillo-a-maquina-formula-especial-nautica-1-kg-pulir/","01-limpieza-barcos/16-pasta-verde-superbrillo","Sí","Sí","Sí","12","Gratis","~€4","No",""
"pasta_verde_superbrillo-generico","PASTA VERDE SUPERBRILLO","generico","Genérico","PASTA VERDE SUPERBRILLO GENÉRICO","LAM-PVERDE-GEN","Pulimento para metales. Superbrillo a máquina. Segundo paso.","7.9","84.0","","","","","","Pulido metales a máquina; Acabado superbrillo; Segundo paso pulido","nautico; industrial","Sí","https://grupolambea.com/producto/pasta-pulir-liquida-verde-brillo-pulimento-para-metales-superbrillo-a-maquina-1-kg/","03-industriales/15-pasta-verde-superbrillo","Sí","Sí","Sí","0","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"plastilam-nautico","PLASTILAM","nautico","Náutico","PLASTILAM NÁUTICO","LAM-PLAS-NAU","Pulimento para plásticos. Restaura faros, ventanillas y plásticos.","10.5","63.0","1 kg","","","","","Pulido faros; Restauración plásticos; Limpieza ventanillas","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/pasta-pulir-plastilam-nautico-pulimento-para-plasticos-limpia-cupulas-escotillas-parabrisas-y-demas-plasticos-1-kg/","01-limpieza-barcos/14-plastilam-nautico","Sí","Sí","Sí","4","Gratis","~€4","No",""
